"34D9ZRXCYQTJZEB4AFAPFYTQZ3CSAB","3LKC68YZ3A33VJK8U5UA12B0PIRWOJ",9,"Approved","Mon Jan 09 12:09:29 PST 2017","Mon Jan 09 17:36:04 PST 2017",,,324,"7673__section_4__beam_11 0","7673__consider_7__beam_11 0","7673__cylindrical_9__beam_11 1","7673__electron_10__beam_11 0","7673__radius_13__beam_11 1",,,"7710__deflected_23__beam_20 1","39__education_5__add_2 0","39__statistics_8__add_2 0","39__figures_11__add_2 0","39__improve_14__add_2 0","39__position_17__add_2 0",,"5__office_27__head_26 1","273__act_9__rest_13 2","273__obliged_11__rest_13 2","273__stand_16__rest_13 1","273__amplifiers_18__rest_13 0","273__beer_20__rest_13 0",,"10474__hell_6__bloody_5 1","334__books_2__characters_24 0","334__feature_21__characters_24 0","334__perennial_23__characters_24 1","334__tales_27__characters_24 0","334__rhymes_30__characters_24 0",,"2355__operations_9__planning_8 0","7760__setting_12__form_15 1","7760__repetition_17__form_15 1","7760__deliberate_19__form_15 1","7760__contrived_21__form_15 1","7760__aesthetic_23__form_15 0",,"7721__carriers_7__charge_6 1",3,1,0,,
"34D9ZRXCYQTJZEB4AFAPFYTQZ3CSAB","3WLEIWSYHOH7RM0EC8ADTMYA9PL2HM",10,"Approved","Mon Jan 09 13:05:02 PST 2017","Mon Jan 09 17:36:04 PST 2017",,,396,"7673__section_4__beam_11 0","7673__consider_7__beam_11 0","7673__cylindrical_9__beam_11 0","7673__electron_10__beam_11 0","7673__radius_13__beam_11 0",,,"7710__deflected_23__beam_20 0","39__education_5__add_2 0","39__statistics_8__add_2 0","39__figures_11__add_2 0","39__improve_14__add_2 0","39__position_17__add_2 0",,"5__office_27__head_26 1","273__act_9__rest_13 1","273__obliged_11__rest_13 1","273__stand_16__rest_13 1","273__amplifiers_18__rest_13 0","273__beer_20__rest_13 0",,"10474__hell_6__bloody_5 3","334__books_2__characters_24 0","334__feature_21__characters_24 0","334__perennial_23__characters_24 3","334__tales_27__characters_24 0","334__rhymes_30__characters_24 0",,"2355__operations_9__planning_8 0","7760__setting_12__form_15 0","7760__repetition_17__form_15 1","7760__deliberate_19__form_15 1","7760__contrived_21__form_15 1","7760__aesthetic_23__form_15 1",,"7721__carriers_7__charge_6 1",3,1,0,,
"3DQYSJDTYKAUL8EFKUIYAP09ZXCXEJ","31Q0U3WYDPF39CC6GVONXQZB3G9716",11,"Approved","Mon Jan 09 12:30:19 PST 2017","Mon Jan 09 17:36:04 PST 2017",,,498,"3413__balance_2__swinging_8 1","3413__idea_13__swinging_8 0","3413__swamp-dwelling_15__swinging_8 0","3413__giant_16__swinging_8 0","3413__terrestrial_20__swinging_8 0",,,"15320__ash_19__bloody_18 2","5954__house_2__lay_21 0","5954__wilderness_24__lay_21 0","5954__grass_28__lay_21 0","5954__bushes_31__lay_21 0","5954__trees_33__lay_21 0",,"338__matter_3__Curious_1 0","7614__function_9__satisfy_17 0","7614__form_12__satisfy_17 0","7614__[formula]_13__satisfy_17 0","7614__automatically_16__satisfy_17 0","7614__equation_20__satisfy_17 0",,"312__R'n'B_22__temple_20 1","7771__walls_37__blaze_41 2","7771__sunflowers_43__blaze_41 2","7771__windows_46__blaze_41 2","7771__Gothic_48__blaze_41 0","7771__coloured_52__blaze_41 0",,"2302__record_8__track_7 0","7697__Ip_24__refer_31 0","7697__subscripts_27__refer_31 0","7697__particles_36__refer_31 0","7697__respectively_37__refer_31 0",,,"338__children_26__-eyed_25 1",3,1,0,,
"3DQYSJDTYKAUL8EFKUIYAP09ZXCXEJ","32UTUBMZ7GW6X0VU0QKS9GSNBC0BVI",12,"Approved","Tue Jan 10 09:22:45 PST 2017","Tue Jan 10 09:52:11 PST 2017",,,294,"3413__balance_2__swinging_8 1","3413__idea_13__swinging_8 1","3413__swamp-dwelling_15__swinging_8 1","3413__giant_16__swinging_8 1","3413__terrestrial_20__swinging_8 0",,,"15320__ash_19__bloody_18 0","5954__house_2__lay_21 0","5954__wilderness_24__lay_21 1","5954__grass_28__lay_21 0","5954__bushes_31__lay_21 0","5954__trees_33__lay_21 0",,"338__matter_3__Curious_1 0","7614__function_9__satisfy_17 0","7614__form_12__satisfy_17 0","7614__[formula]_13__satisfy_17 0","7614__automatically_16__satisfy_17 0","7614__equation_20__satisfy_17 1",,"312__R'n'B_22__temple_20 2","7771__walls_37__blaze_41 2","7771__sunflowers_43__blaze_41 1","7771__windows_46__blaze_41 1","7771__Gothic_48__blaze_41 1","7771__coloured_52__blaze_41 0",,"2302__record_8__track_7 0","7697__Ip_24__refer_31 0","7697__subscripts_27__refer_31 0","7697__particles_36__refer_31 0","7697__respectively_37__refer_31 1",,,"338__children_26__-eyed_25 0",3,1,0,,
"3DQYSJDTYKAUL8EFKUIYAP09ZXCXEJ","34MAJL3QP4N20S82114ZI7UYAYW349",13,"Approved","Mon Jan 09 12:00:33 PST 2017","Mon Jan 09 17:36:04 PST 2017",,,741,"3413__balance_2__swinging_8 1","3413__idea_13__swinging_8 0","3413__swamp-dwelling_15__swinging_8 0","3413__giant_16__swinging_8 0","3413__terrestrial_20__swinging_8 0",,,"15320__ash_19__bloody_18 0","5954__house_2__lay_21 0","5954__wilderness_24__lay_21 1","5954__grass_28__lay_21 0","5954__bushes_31__lay_21 0","5954__trees_33__lay_21 0",,"338__matter_3__Curious_1 1","7614__function_9__satisfy_17 0","7614__form_12__satisfy_17 0","7614__[formula]_13__satisfy_17 0","7614__automatically_16__satisfy_17 0","7614__equation_20__satisfy_17 0",,"312__R'n'B_22__temple_20 1","7771__walls_37__blaze_41 0","7771__sunflowers_43__blaze_41 1","7771__windows_46__blaze_41 1","7771__Gothic_48__blaze_41 1","7771__coloured_52__blaze_41 2",,"2302__record_8__track_7 0","7697__Ip_24__refer_31 0","7697__subscripts_27__refer_31 0","7697__particles_36__refer_31 0","7697__respectively_37__refer_31 0",,,"338__children_26__-eyed_25 0",3,1,0,,
"3DQYSJDTYKAUL8EFKUIYAP09ZXCXEJ","3E13VNJ1NNV0YWT2ZMSKOFPKHWJI1B",14,"Rejected","Mon Jan 09 12:10:46 PST 2017",,"Mon Jan 09 17:36:05 PST 2017","Auto-Reject: Quality-control program identified this assignment as spam.",79,"3413__balance_2__swinging_8 1","3413__idea_13__swinging_8 2","3413__swamp-dwelling_15__swinging_8 3","3413__giant_16__swinging_8 2","3413__terrestrial_20__swinging_8 1",,,"15320__ash_19__bloody_18 2","5954__house_2__lay_21 2","5954__wilderness_24__lay_21 1","5954__grass_28__lay_21 0","5954__bushes_31__lay_21 2","5954__trees_33__lay_21 1",,"338__matter_3__Curious_1 3","7614__function_9__satisfy_17 1","7614__form_12__satisfy_17 1","7614__[formula]_13__satisfy_17 0","7614__automatically_16__satisfy_17 3","7614__equation_20__satisfy_17 0",,"312__R'n'B_22__temple_20 1","7771__walls_37__blaze_41 1","7771__sunflowers_43__blaze_41 2","7771__windows_46__blaze_41 3","7771__Gothic_48__blaze_41 3","7771__coloured_52__blaze_41 2",,"2302__record_8__track_7 2","7697__Ip_24__refer_31 1","7697__subscripts_27__refer_31 2","7697__particles_36__refer_31 0","7697__respectively_37__refer_31 2",,,"338__children_26__-eyed_25 1",3,1,0,,
"3DQYSJDTYKAUL8EFKUIYAP09ZXCXEJ","3GM6G9ZBKNXN3ZV2MKAMMEFWQPCTMV",15,"Rejected","Mon Jan 09 18:50:50 PST 2017",,"Mon Jan 09 21:21:26 PST 2017","Auto-Reject: Quality-control program identified this assignment as spam.",95,"3413__balance_2__swinging_8 2","3413__idea_13__swinging_8 1","3413__swamp-dwelling_15__swinging_8 1","3413__giant_16__swinging_8 2","3413__terrestrial_20__swinging_8 1",,,"15320__ash_19__bloody_18 1","5954__house_2__lay_21 2","5954__wilderness_24__lay_21 1","5954__grass_28__lay_21 1","5954__bushes_31__lay_21 2","5954__trees_33__lay_21 1",,"338__matter_3__Curious_1 2","7614__function_9__satisfy_17 2","7614__form_12__satisfy_17 2","7614__[formula]_13__satisfy_17 2","7614__automatically_16__satisfy_17 1","7614__equation_20__satisfy_17 1",,"312__R'n'B_22__temple_20 2","7771__walls_37__blaze_41 1","7771__sunflowers_43__blaze_41 1","7771__windows_46__blaze_41 2","7771__Gothic_48__blaze_41 1","7771__coloured_52__blaze_41 1",,"2302__record_8__track_7 1","7697__Ip_24__refer_31 1","7697__subscripts_27__refer_31 2","7697__particles_36__refer_31 2","7697__respectively_37__refer_31 2",,,"338__children_26__-eyed_25 2",1,2,1,,
"3DQYSJDTYKAUL8EFKUIYAP09ZXCXEJ","3KXIR214I4GDFACJX1QUZXP64KZ422",16,"Approved","Mon Jan 09 13:16:06 PST 2017","Mon Jan 09 17:36:04 PST 2017",,,492,"3413__balance_2__swinging_8 1","3413__idea_13__swinging_8 0","3413__swamp-dwelling_15__swinging_8 0","3413__giant_16__swinging_8 0","3413__terrestrial_20__swinging_8 0",,,"15320__ash_19__bloody_18 1","5954__house_2__lay_21 1","5954__wilderness_24__lay_21 1","5954__grass_28__lay_21 1","5954__bushes_31__lay_21 0","5954__trees_33__lay_21 1",,"338__matter_3__Curious_1 0","7614__function_9__satisfy_17 1","7614__form_12__satisfy_17 0","7614__[formula]_13__satisfy_17 0","7614__automatically_16__satisfy_17 0","7614__equation_20__satisfy_17 0",,"312__R'n'B_22__temple_20 0","7771__walls_37__blaze_41 0","7771__sunflowers_43__blaze_41 3","7771__windows_46__blaze_41 2","7771__Gothic_48__blaze_41 0","7771__coloured_52__blaze_41 2",,"2302__record_8__track_7 1","7697__Ip_24__refer_31 0","7697__subscripts_27__refer_31 0","7697__particles_36__refer_31 0","7697__respectively_37__refer_31 0",,,"338__children_26__-eyed_25 0",3,1,0,,
"3DQYSJDTYKAUL8EFKUIYAP09ZXCXEJ","3VD82FOHKQOUHLE3DEU9P84XX33COM",17,"Rejected","Mon Jan 09 22:25:20 PST 2017",,"Tue Jan 10 08:57:30 PST 2017","Auto-Reject: Quality-control program identified this assignment as spam.",50,"3413__balance_2__swinging_8 2","3413__idea_13__swinging_8 3","3413__swamp-dwelling_15__swinging_8 1","3413__giant_16__swinging_8 1","3413__terrestrial_20__swinging_8 2",,,"15320__ash_19__bloody_18 2","5954__house_2__lay_21 3","5954__wilderness_24__lay_21 2","5954__grass_28__lay_21 2","5954__bushes_31__lay_21 2","5954__trees_33__lay_21 1",,"338__matter_3__Curious_1 1","7614__function_9__satisfy_17 1","7614__form_12__satisfy_17 2","7614__[formula]_13__satisfy_17 2","7614__automatically_16__satisfy_17 2","7614__equation_20__satisfy_17 2",,"312__R'n'B_22__temple_20 2","7771__walls_37__blaze_41 2","7771__sunflowers_43__blaze_41 1","7771__windows_46__blaze_41 1","7771__Gothic_48__blaze_41 3","7771__coloured_52__blaze_41 0",,"2302__record_8__track_7 0","7697__Ip_24__refer_31 1","7697__subscripts_27__refer_31 1","7697__particles_36__refer_31 2","7697__respectively_37__refer_31 2",,,"338__children_26__-eyed_25 3",2,1,1,,
"3DQYSJDTYKAUL8EFKUIYAP09ZXCXEJ","3ZSANO2JCF7GIPQ6BX1JHJZ1R48FS5",18,"Approved","Mon Jan 09 13:44:16 PST 2017","Mon Jan 09 17:36:05 PST 2017",,,145,"3413__balance_2__swinging_8 1","3413__idea_13__swinging_8 0","3413__swamp-dwelling_15__swinging_8 0","3413__giant_16__swinging_8 0","3413__terrestrial_20__swinging_8 0",,,"15320__ash_19__bloody_18 1","5954__house_2__lay_21 0","5954__wilderness_24__lay_21 0","5954__grass_28__lay_21 0","5954__bushes_31__lay_21 0","5954__trees_33__lay_21 0",,"338__matter_3__Curious_1 1","7614__function_9__satisfy_17 0","7614__form_12__satisfy_17 0","7614__[formula]_13__satisfy_17 0","7614__automatically_16__satisfy_17 0","7614__equation_20__satisfy_17 0",,"312__R'n'B_22__temple_20 2","7771__walls_37__blaze_41 2","7771__sunflowers_43__blaze_41 2","7771__windows_46__blaze_41 2","7771__Gothic_48__blaze_41 2","7771__coloured_52__blaze_41 2",,"2302__record_8__track_7 0","7697__Ip_24__refer_31 0","7697__subscripts_27__refer_31 0","7697__particles_36__refer_31 0","7697__respectively_37__refer_31 0",,,"338__children_26__-eyed_25 1",3,1,0,,
"3O2Y2UIUCPTG7MF4GMNF2DD7FPCKFZ","33LK57MYLT5MN6H6C9VQKBFJ3ADZSQ",2,"Approved","Mon Jan 09 17:52:58 PST 2017","Mon Jan 09 21:21:26 PST 2017",,,226,"6131__thorn_15__pad_20 2","6131__drove_16__pad_20 1","6131__fleshy_19__pad_20 3","6131__finger_23__pad_20 2",,,,"7755__life_13__schooled_15 2","7956__metaphorically_3__fist_7 0","7956__shaken_4__fist_7 3","7956__impotently_9__fist_7 0","7956__-field_15__fist_7 0",,,"309__level_8__oppressive_11 0","7688__particles_3__travel_5 0","7688__rarely_4__travel_5 1","7688__velocity_9__travel_5 0","7688__conclude_14__travel_5 0",,,"7684__owing_7__unstable_21 0","3321__typified_5__scars_10 2","3321__lozenge-shaped_8__scars_10 2","3321__leaf_9__scars_10 1","3321__arranged_11__scars_10 3",,,"3052__guru_9__broken_5 0","7683__magnetic_11__force_12 2","7683__negligible_14__force_12 2","7683__comparison_16__force_12 0","7683__electric_19__force_12 1",,,"2287__operations_15__planning_14 1",3,1,0,,
"3O2Y2UIUCPTG7MF4GMNF2DD7FPCKFZ","36DSNE9QZ5YHPZK9N6BVCCHSNNYOJY",19,"Approved","Mon Jan 09 18:06:20 PST 2017","Mon Jan 09 21:21:26 PST 2017",,,154,"6131__thorn_15__pad_20 0","6131__drove_16__pad_20 0","6131__fleshy_19__pad_20 2","6131__finger_23__pad_20 1",,,,"7755__life_13__schooled_15 1","7956__metaphorically_3__fist_7 1","7956__shaken_4__fist_7 1","7956__impotently_9__fist_7 1","7956__-field_15__fist_7 1",,,"309__level_8__oppressive_11 2","7688__particles_3__travel_5 2","7688__rarely_4__travel_5 1","7688__velocity_9__travel_5 2","7688__conclude_14__travel_5 1",,,"7684__owing_7__unstable_21 1","3321__typified_5__scars_10 1","3321__lozenge-shaped_8__scars_10 1","3321__leaf_9__scars_10 1","3321__arranged_11__scars_10 2",,,"3052__guru_9__broken_5 1","7683__magnetic_11__force_12 2","7683__negligible_14__force_12 2","7683__comparison_16__force_12 2","7683__electric_19__force_12 2",,,"2287__operations_15__planning_14 0",3,1,0,,
